
Host: localhost.localdomain

Timers On : Wed Jun  1 11:50:35 2022
Timers Off: Wed Jun  1 23:23:24 2022

Wall Time:    41569.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 (Q|A)(A|ia)                 :     75.567u      0.450s      0.963w      3 calls
| DFMP2 Qia Write                   :     45.450u      2.867s      1.226w      3 calls
DFMP2 Energy                        :    681.083u      4.567s     10.712w      3 calls
| DFMP2 Qia Read                    :      0.650u      0.750s      0.817w      6 calls
DF Integrals                        :  27026.217u    701.967s    543.534w      1 calls
Omega Integrals                     :    140.900u     40.733s     22.688w      1 calls
Amplitudes                          : 195873.167u    992.883s   3265.043w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      9.083u      0.283s      0.119w      1 calls
Exch10                              :      5.500u      0.100s      0.070w      1 calls
Ind20,r                             :   6815.500u    183.583s     92.281w      1 calls
Exch-Ind20,r                        :    197.833u      6.683s      3.352w      1 calls
Disp20                              :    227.050u      6.817s      6.110w      1 calls
Exch-Disp20                         :   5157.633u     30.483s     84.281w      1 calls
Elst12                              :      0.500u      0.100s      0.011w      1 calls
Exch11                              :     82.150u      3.267s      1.685w      1 calls
Exch12                              :  64694.933u    524.867s   1019.264w      1 calls
Ind22                               :   4221.650u    151.517s    148.000w      1 calls
Disp21                              :     96.367u     15.500s      9.934w      1 calls
Disp22 (SDQ)                        :   9217.633u    130.967s    198.757w      1 calls
Disp22 (T)                          : 1176363.417u   4843.100s  32189.432w      1 calls
Elst13                              :      0.800u      0.050s      0.011w      1 calls
Disp30                              : 290072.517u   2116.717s   3748.341w      1 calls

**************************************************************************************
