
Host: localhost.localdomain

Timers On : Sat May 21 21:11:24 2022
Timers Off: Sat May 21 21:16:43 2022

Wall Time:      319.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: USO2AO                          :      4.967u      0.050s      0.128w     37 calls
JK: JK                              :   5655.383u    245.567s    262.306w     37 calls
JK: (Q|mn) Read                     :    955.350u    201.900s    114.411w    185 calls
JK: J                               :    841.033u      2.517s     23.792w    185 calls
JK: J1                              :    394.800u      1.283s     10.864w    185 calls
JK: J2                              :    410.950u      0.750s     11.259w    185 calls
JK: K                               :   3554.350u      1.750s     97.457w    185 calls
JK: K1                              :   3081.733u      0.983s     84.429w    185 calls
JK: K2                              :    458.517u      0.417s     12.638w    185 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      5.933u      0.117s      0.168w     37 calls
HF: Form D                          :      2.300u      0.033s      0.073w     37 calls
HF: DIIS                            :    112.050u      5.217s      3.210w     34 calls
DIISManager::add_entry              :     22.200u      1.000s      0.619w     34 calls
DIISManager::extrapolate            :     57.483u      2.800s      1.648w     34 calls
bMatrix setup                       :     32.450u      1.783s      0.942w     34 calls
bMatrix pseudoinverse               :      0.183u      0.017s      0.003w     34 calls
New vector                          :     24.817u      1.000s      0.703w     34 calls
HF: Form C                          :    260.917u      2.883s      7.213w     34 calls
DFMP2 Singles                       :      3.233u      0.033s      0.087w      3 calls
DFMP2 Aia                           :   1657.617u     11.583s     59.986w      3 calls
DFMP2 (A|mn)                        :   1336.217u      0.417s     36.589w     21 calls
DFMP2 (A|mn)C_mi                    :    109.383u      1.000s      3.011w     21 calls
DFMP2 (A|mi)C_na                    :     24.600u      1.233s      0.707w     21 calls
DFMP2 Aia Write                     :     47.750u      2.900s      1.388w     21 calls
DFMP2 Qia                           :    106.500u      5.850s      5.922w      3 calls
DFMP2 Metric                        :     44.000u      0.567s      1.587w      3 calls
DFMP2 Aia Read                      :      0.017u      0.850s      0.535w      3 calls
DFMP2 (Q|A)(A|ia)                   :     35.450u      0.383s      0.981w      3 calls
DFMP2 Qia Write                     :     20.900u      2.633s      1.506w      3 calls
DFMP2 Energy                        :    417.633u      3.633s     13.899w      3 calls
DFMP2 Qia Read                      :      0.733u      0.867s      0.966w      6 calls

--------------------------------------------------------------------------------------
JK: (A|Q)^-1                        :     49.417u     10.700s      6.198w      1 calls
JK: (A|mn)                          :    348.700u      0.667s      9.655w      4 calls
JK: (Q|mn)                          :    297.967u      4.367s      8.273w      4 calls
JK: (Q|mn) Write                    :     27.967u      7.117s      4.215w      4 calls
HF: Form core H                     :      0.633u      0.033s      0.518w      3 calls
HF: Form S/X                        :     24.083u      0.467s      0.672w      3 calls
HF: Guess                           :    100.017u      1.517s      2.779w      3 calls
| SAD Guess                         :     97.900u      1.483s      2.719w      3 calls
HF: Form G                          :   5669.267u    245.833s    262.695w     37 calls
| JK: D                             :      2.350u      0.033s      0.075w     37 calls
| JK: USO2AO                        :      4.967u      0.050s      0.128w     37 calls
| JK: JK                            :   5655.383u    245.567s    262.306w     37 calls
| | JK: (Q|mn) Read                 :    955.350u    201.900s    114.411w    185 calls
| | JK: J                           :    841.033u      2.517s     23.792w    185 calls
| | | JK: J1                        :    394.800u      1.283s     10.864w    185 calls
| | | JK: J2                        :    410.950u      0.750s     11.259w    185 calls
| | JK: K                           :   3554.350u      1.750s     97.457w    185 calls
| | | JK: K1                        :   3081.733u      0.983s     84.429w    185 calls
| | | JK: K2                        :    458.517u      0.417s     12.638w    185 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      5.933u      0.117s      0.168w     37 calls
HF: Form D                          :      2.300u      0.033s      0.073w     37 calls
HF: DIIS                            :    112.050u      5.217s      3.210w     34 calls
| DIISManager::add_entry            :     22.200u      1.000s      0.619w     34 calls
| DIISManager::extrapolate          :     57.483u      2.800s      1.648w     34 calls
| | bMatrix setup                   :     32.450u      1.783s      0.942w     34 calls
