
Host: localhost.localdomain

Timers On : Mon May 30 12:04:49 2022
Timers Off: Mon May 30 12:49:08 2022

Wall Time:     2659.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 (Q|A)(A|ia)                 :      4.083u      0.083s      0.105w      3 calls
| DFMP2 Qia Write                   :     10.033u      0.633s      0.267w      3 calls
DFMP2 Energy                        :     40.500u      0.883s      1.148w      3 calls
| DFMP2 Qia Read                    :      3.517u      0.217s      0.177w      6 calls
DF Integrals                        :   2371.233u     86.233s     82.245w      1 calls
Omega Integrals                     :     26.367u      5.700s      3.756w      1 calls
Amplitudes                          :   4818.600u    118.017s    214.351w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.950u      0.033s      0.025w      1 calls
Exch10                              :      0.700u      0.000s      0.018w      1 calls
Ind20,r                             :    441.433u      9.817s     11.751w      1 calls
Exch-Ind20,r                        :     29.017u      1.300s      0.760w      1 calls
Disp20                              :     27.633u      1.350s      0.872w      1 calls
Exch-Disp20                         :    328.517u      7.033s     10.511w      1 calls
Elst12                              :      0.067u      0.017s      0.004w      1 calls
Exch11                              :     13.217u      0.617s      0.347w      1 calls
Exch12                              :   3375.283u     45.633s    112.138w      1 calls
Ind22                               :    389.100u     24.367s     20.346w      1 calls
Disp21                              :     25.133u      2.583s      1.488w      1 calls
Disp22 (SDQ)                        :    488.383u     21.033s     20.413w      1 calls
Disp22 (T)                          :  73839.767u    993.733s   1877.001w      1 calls
Elst13                              :      0.100u      0.033s      0.003w      1 calls
Disp30                              :   9670.333u     79.150s    252.747w      1 calls

**************************************************************************************
